Features,emotion_value,proportion,emotion_label,average_confidence_score
airport,3,1.0,joy,0.5577503442764282
apartment,0,0.2857142857142857,anger,0.43804846491132465
apartment,2,0.2857142857142857,fear,0.43804846491132465
apartment,4,0.2857142857142857,neutral,0.43804846491132465
apartment,6,0.14285714285714285,surprise,0.43804846491132465
bank,4,1.0,neutral,0.47806596755981445
banks,5,1.0,sadness,0.6274887919425964
barn,1,0.5,disgust,0.5794331803917885
barn,2,0.25,fear,0.5794331803917885
barn,3,0.25,joy,0.5794331803917885
barracks,2,1.0,fear,0.6976889967918396
border,2,0.7692307692307693,fear,0.7151137361159692
border,3,0.07692307692307693,joy,0.7151137361159692
border,4,0.07692307692307693,neutral,0.7151137361159692
border,5,0.07692307692307693,sadness,0.7151137361159692
borders,4,0.6666666666666666,neutral,0.4748023251692454
borders,3,0.3333333333333333,joy,0.4748023251692454
bridge,2,0.5,fear,0.8897024393081665
bridge,3,0.5,joy,0.8897024393081665
bus,2,0.7083333333333334,fear,0.6124453420440356
bus,4,0.08333333333333333,neutral,0.6124453420440356
bus,6,0.08333333333333333,surprise,0.6124453420440356
bus,0,0.041666666666666664,anger,0.6124453420440356
bus,1,0.041666666666666664,disgust,0.6124453420440356
bus,3,0.041666666666666664,joy,0.6124453420440356
camp,2,0.5555555555555556,fear,0.5977618418357991
camp,4,0.12962962962962962,neutral,0.5977618418357991
camp,3,0.1111111111111111,joy,0.5977618418357991
camp,0,0.09259259259259259,anger,0.5977618418357991
camp,5,0.07407407407407407,sadness,0.5977618418357991
camp,1,0.018518518518518517,disgust,0.5977618418357991
camp,6,0.018518518518518517,surprise,0.5977618418357991
camps,2,0.5,fear,0.5299178063869476
camps,4,0.2777777777777778,neutral,0.5299178063869476
camps,0,0.2222222222222222,anger,0.5299178063869476
car,2,0.6666666666666666,fear,0.6023201694091161
car,4,0.16666666666666666,neutral,0.6023201694091161
car,6,0.16666666666666666,surprise,0.6023201694091161
chateau,6,1.0,surprise,0.46394017338752747
church,2,0.30952380952380953,fear,0.5623299326925051
church,4,0.2619047619047619,neutral,0.5623299326925051
church,3,0.16666666666666666,joy,0.5623299326925051
church,0,0.14285714285714285,anger,0.5623299326925051
church,1,0.07142857142857142,disgust,0.5623299326925051
church,5,0.023809523809523808,sadness,0.5623299326925051
church,6,0.023809523809523808,surprise,0.5623299326925051
churches,2,0.5,fear,0.3872585892677307
churches,5,0.5,sadness,0.3872585892677307
college,4,0.4375,neutral,0.6087984926998615
college,2,0.25,fear,0.6087984926998615
college,1,0.125,disgust,0.6087984926998615
college,3,0.125,joy,0.6087984926998615
college,5,0.0625,sadness,0.6087984926998615
concentration camp,2,0.6666666666666666,fear,0.4158647656440735
concentration camp,5,0.3333333333333333,sadness,0.4158647656440735
concentration camps,2,0.6666666666666666,fear,0.3846640835205714
concentration camps,0,0.16666666666666666,anger,0.3846640835205714
concentration camps,4,0.16666666666666666,neutral,0.3846640835205714
corridor,2,1.0,fear,0.6017274856567383
desert,2,1.0,fear,0.39670076966285706
estate,2,1.0,fear,0.3665003776550293
facility,2,1.0,fear,0.3521535098552704
factory,2,1.0,fear,0.4032808542251587
farm,2,0.625,fear,0.5862725398813685
farm,4,0.1875,neutral,0.5862725398813685
farm,3,0.08333333333333333,joy,0.5862725398813685
farm,0,0.0625,anger,0.5862725398813685
farm,1,0.020833333333333332,disgust,0.5862725398813685
farm,6,0.020833333333333332,surprise,0.5862725398813685
farms,4,0.5,neutral,0.6345066908333037
farms,2,0.4444444444444444,fear,0.6345066908333037
farms,3,0.05555555555555555,joy,0.6345066908333037
fence,2,1.0,fear,0.5525301694869995
field,1,0.3333333333333333,disgust,0.7459150552749634
field,2,0.3333333333333333,fear,0.7459150552749634
field,4,0.3333333333333333,neutral,0.7459150552749634
fields,1,0.5,disgust,0.5034229010343552
fields,3,0.5,joy,0.5034229010343552
forest,2,0.6666666666666666,fear,0.45527809858322144
forest,4,0.3333333333333333,neutral,0.45527809858322144
forests,2,1.0,fear,0.6865972876548767
garden,4,0.3333333333333333,neutral,0.47794875626762706
garden,1,0.25,disgust,0.47794875626762706
garden,2,0.25,fear,0.47794875626762706
garden,5,0.08333333333333333,sadness,0.47794875626762706
garden,6,0.08333333333333333,surprise,0.47794875626762706
gardens,1,1.0,disgust,0.3887007534503937
gate,2,1.0,fear,0.6584849953651428
hill,2,1.0,fear,0.5521887242794037
home,2,0.46153846153846156,fear,0.5907349353963203
home,4,0.2967032967032967,neutral,0.5907349353963203
home,3,0.16483516483516483,joy,0.5907349353963203
home,5,0.03296703296703297,sadness,0.5907349353963203
home,0,0.02197802197802198,anger,0.5907349353963203
home,1,0.01098901098901099,disgust,0.5907349353963203
home,6,0.01098901098901099,surprise,0.5907349353963203
homes,2,0.391304347826087,fear,0.5270478479240251
homes,4,0.30434782608695654,neutral,0.5270478479240251
homes,3,0.17391304347826086,joy,0.5270478479240251
homes,1,0.043478260869565216,disgust,0.5270478479240251
homes,5,0.043478260869565216,sadness,0.5270478479240251
homes,6,0.043478260869565216,surprise,0.5270478479240251
hospital,2,1.0,fear,0.3263581097126007
hotel,2,0.6666666666666666,fear,0.4724457263946533
hotel,4,0.3333333333333333,neutral,0.4724457263946533
house,2,0.5405405405405406,fear,0.6127099706245972
house,4,0.27927927927927926,neutral,0.6127099706245972
house,3,0.06306306306306306,joy,0.6127099706245972
house,0,0.05405405405405406,anger,0.6127099706245972
house,1,0.04504504504504504,disgust,0.6127099706245972
house,5,0.018018018018018018,sadness,0.6127099706245972
houses,2,0.45454545454545453,fear,0.5341355990279805
houses,4,0.36363636363636365,neutral,0.5341355990279805
houses,3,0.09090909090909091,joy,0.5341355990279805
houses,6,0.09090909090909091,surprise,0.5341355990279805
mill,2,1.0,fear,0.7280165553092957
monasteries,4,1.0,neutral,0.5051720142364502
monastery,2,1.0,fear,0.47533905506134033
mountain,2,0.5454545454545454,fear,0.4907468394799666
mountain,0,0.2727272727272727,anger,0.4907468394799666
mountain,1,0.09090909090909091,disgust,0.4907468394799666
mountain,4,0.09090909090909091,neutral,0.4907468394799666
mountains,2,0.8333333333333334,fear,0.6786525282594893
mountains,0,0.05555555555555555,anger,0.6786525282594893
mountains,3,0.05555555555555555,joy,0.6786525282594893
mountains,4,0.05555555555555555,neutral,0.6786525282594893
museum,2,1.0,fear,0.5971498936414719
museums,3,1.0,joy,0.6080437898635864
office,2,0.5,fear,0.7541902363300323
office,4,0.5,neutral,0.7541902363300323
orchards,4,1.0,neutral,0.5354682803153992
pass,4,0.42857142857142855,neutral,0.4966000361101968
pass,2,0.2857142857142857,fear,0.4966000361101968
pass,5,0.14285714285714285,sadness,0.4966000361101968
pass,6,0.14285714285714285,surprise,0.4966000361101968
peak,2,1.0,fear,0.5015034675598145
plateau,2,0.5555555555555556,fear,0.5636759036117129
plateau,4,0.3333333333333333,neutral,0.5636759036117129
plateau,3,0.1111111111111111,joy,0.5636759036117129
police station,2,1.0,fear,0.8169460296630859
prison,5,1.0,sadness,0.31681689620018005
railroad,2,0.8333333333333334,fear,0.6043385614951452
railroad,0,0.16666666666666666,anger,0.6043385614951452
railway station,2,1.0,fear,0.6905967891216278
road,2,0.8,fear,0.6011951744556427
road,0,0.2,anger,0.6011951744556427
roads,2,0.5,fear,0.7168840318918228
roads,3,0.5,joy,0.7168840318918228
school,2,0.39215686274509803,fear,0.5829033319856606
school,4,0.2549019607843137,neutral,0.5829033319856606
school,3,0.11764705882352941,joy,0.5829033319856606
school,1,0.09803921568627451,disgust,0.5829033319856606
school,5,0.0784313725490196,sadness,0.5829033319856606
school,0,0.049019607843137254,anger,0.5829033319856606
school,6,0.00980392156862745,surprise,0.5829033319856606
schools,0,0.5,anger,0.5688509196043015
schools,4,0.5,neutral,0.5688509196043015
stables,1,1.0,disgust,0.38051876425743103
station,2,0.8666666666666667,fear,0.6651137431462606
station,4,0.13333333333333333,neutral,0.6651137431462606
store,2,0.5,fear,0.46366996318101883
store,0,0.25,anger,0.46366996318101883
store,3,0.25,joy,0.46366996318101883
train,2,0.75,fear,0.7236654914915561
train,4,0.175,neutral,0.7236654914915561
train,3,0.025,joy,0.7236654914915561
train,5,0.025,sadness,0.7236654914915561
train,6,0.025,surprise,0.7236654914915561
trains,2,0.6666666666666666,fear,0.7819204529126486
trains,3,0.3333333333333333,joy,0.7819204529126486
tree,2,0.75,fear,0.7116232067346573
tree,4,0.25,neutral,0.7116232067346573
trees,2,0.5,fear,0.5678938925266266
trees,6,0.5,surprise,0.5678938925266266
truck,0,0.5,anger,0.35510487854480743
truck,4,0.5,neutral,0.35510487854480743
trucks,2,1.0,fear,0.6084549129009247
universities,2,0.5,fear,0.6752342879772186
universities,4,0.5,neutral,0.6752342879772186
university,2,1.0,fear,0.4510982781648636
valley,2,0.75,fear,0.6617309376597404
valley,4,0.25,neutral,0.6617309376597404
village,2,0.5190839694656488,fear,0.6073933999047024
village,4,0.16793893129770993,neutral,0.6073933999047024
village,3,0.1450381679389313,joy,0.6073933999047024
village,1,0.05343511450381679,disgust,0.6073933999047024
village,6,0.04580152671755725,surprise,0.6073933999047024
village,0,0.03816793893129771,anger,0.6073933999047024
village,5,0.030534351145038167,sadness,0.6073933999047024
wagon,1,1.0,disgust,0.5788900256156921
wagons,2,1.0,fear,0.4832579493522644
wall,2,1.0,fear,0.7047997613747915
walls,0,0.5,anger,0.36212118715047836
walls,4,0.5,neutral,0.36212118715047836
woods,2,0.7692307692307693,fear,0.6630988648304572
woods,4,0.07692307692307693,neutral,0.6630988648304572
woods,6,0.07692307692307693,surprise,0.6630988648304572
woods,3,0.038461538461538464,joy,0.6630988648304572
woods,5,0.038461538461538464,sadness,0.6630988648304572
