LAT,LON,ALT,emotion_value,proportion,emotion_label,average_confidence_score,other_French_Locations
43.27376,-0.74031,186,5,0.5,sadness,0.7799965977668762,Camp de Gurs
43.27376,-0.74031,186,4,0.4,neutral,0.7799965977668762,Camp de Gurs
43.27376,-0.74031,186,3,0.1,joy,0.7799965977668762,Camp de Gurs
43.29695,5.38107,28,4,0.6363636363636364,neutral,0.8601408709179271,Marseille
43.29695,5.38107,28,5,0.2727272727272727,sadness,0.8601408709179271,Marseille
43.29695,5.38107,28,3,0.090909091,joy,0.8601408709179271,Marseille
44.82313,4.65988,151,4,1,neutral,0.9278182089328766,Dunière
45.04366,3.88523,640,4,0.7142857142857143,neutral,0.818873413,Le Puy-en-Velay
45.04366,3.88523,640,5,0.19047619047619047,sadness,0.818873413,Le Puy-en-Velay
45.04366,3.88523,640,0,0.095238095,anger,0.818873413,Le Puy-en-Velay
45.14282,4.12372,864,4,1,neutral,0.9506891767183939,Yssingeaux
45.43389,4.39,529,4,0.6455696202531646,neutral,0.8251941743530805,Saint-Étienne
45.43389,4.39,529,5,0.21518987341772153,sadness,0.8251941743530805,Saint-Étienne
45.43389,4.39,529,3,0.063291139,joy,0.8251941743530805,Saint-Étienne
45.43389,4.39,529,0,0.025316456,anger,0.8251941743530805,Saint-Étienne
45.43389,4.39,529,2,0.025316456,fear,0.8251941743530805,Saint-Étienne
45.43389,4.39,529,6,0.025316456,surprise,0.8251941743530805,Saint-Étienne
45.74846,4.84671,173,4,0.46153846153846156,neutral,0.9024120844327487,Lyon
45.74846,4.84671,173,5,0.38461538461538464,sadness,0.9024120844327487,Lyon
45.74846,4.84671,173,3,0.15384615384615385,joy,0.9024120844327487,Lyon
47.75205,7.32866,238,4,0.875,neutral,0.8992094695568085,Mulhouse
47.75205,7.32866,238,3,0.125,joy,0.8992094695568085,Mulhouse
48.85341,2.3488,42,4,0.8125,neutral,0.8039057310670614,Paris
48.85341,2.3488,42,5,0.125,sadness,0.8039057310670614,Paris
48.85341,2.3488,42,0,0.0625,anger,0.8039057310670614,Paris
48.92583,2.44528,47,4,1,neutral,0.9192080795764923,Drancy
49.44313,1.09932,21,4,0.8571428571428571,neutral,0.9227524825504848,Rouen
49.44313,1.09932,21,5,0.14285714285714285,sadness,0.9227524825504848,Rouen
