LAT,LON,ALT,emotion_value,proportion,emotion_label,average_confidence_score,Plateau_Locations
44.91428,4.18992,1744,4,1,neutral,0.8985116630792618,Mont Mézenc
44.95283,4.26497,1151,4,1,neutral,0.8258966207504272,Saint-Clément
44.985435,4.226421,1181,4,0.8823529411764706,neutral,0.9368425116819494,Fay-sur-Lignon
44.985435,4.226421,1181,5,0.11764705882352941,sadness,0.9368425116819494,Fay-sur-Lignon
45.010014,4.3950486,1066,4,1,neutral,0.8576494057973226,Saint-Agrève
45.04719,4.2447343,1027,4,0.5714285714285714,neutral,0.7355554061276572,Mazet-Saint-Voy
45.04719,4.2447343,1027,5,0.2857142857142857,sadness,0.7355554061276572,Mazet-Saint-Voy
45.04719,4.2447343,1027,0,0.14285714285714285,anger,0.7355554061276572,Mazet-Saint-Voy
45.06081,4.302941,961,4,0.6782449725776966,neutral,0.8545719853702803,Le Chambon-sur-Lignon
45.06081,4.302941,961,3,0.14625228519195613,joy,0.8545719853702803,Le Chambon-sur-Lignon
45.06081,4.302941,961,5,0.13528336380255943,sadness,0.8545719853702803,Le Chambon-sur-Lignon
45.06081,4.302941,961,6,0.014625228519195612,surprise,0.8545719853702803,Le Chambon-sur-Lignon
45.06081,4.302941,961,0,0.012797074954296161,anger,0.8545719853702803,Le Chambon-sur-Lignon
45.06081,4.302941,961,2,0.012797074954296161,fear,0.8545719853702803,Le Chambon-sur-Lignon
45.07724,4.21654,1047,4,1,neutral,0.9482892513275146,Freycenet
45.08217,4.28083,969,3,0.5,joy,0.8964040577411652,Mazelgirard
45.08217,4.28083,969,4,0.25,neutral,0.8964040577411652,Mazelgirard
45.08217,4.28083,969,5,0.25,sadness,0.8964040577411652,Mazelgirard
45.087067,4.248799,1041,4,1,neutral,0.9517073482275009,Fourezon
45.09006,4.344,1004,0,0.5,anger,0.7101931422948837,Chaumargeais
45.09006,4.344,1004,4,0.5,neutral,0.7101931422948837,Chaumargeais
45.116135,4.289156,849,4,0.725,neutral,0.8605408370494843,Tence
45.116135,4.289156,849,5,0.225,sadness,0.8605408370494843,Tence
45.116135,4.289156,849,0,0.025,anger,0.8605408370494843,Tence
45.116135,4.289156,849,6,0.025,surprise,0.8605408370494843,Tence
45.12113,4.41125,1096,4,1,neutral,0.6997190117835999,Saint-André
45.132137,4.284565,822,5,1,sadness,0.6958648562431335,La Papeterie
45.18561,4.31376,919,4,0.75,neutral,0.7818284183740616,Montfaucon
45.18561,4.31376,919,0,0.25,anger,0.7818284183740616,Montfaucon
