schools,Lat,Long,Alt
Collège Cévenol,45.060959,4.303929,961
Collège-Cévenol,45.060959,4.303929,961
Cévenol,45.060959,4.303929,961
La Ferme École,45.055912,4.325135,1005
College Cévenol,45.060959,4.303929,961
College-Cévenol,45.060959,4.303929,961
College Cevenol,45.060959,4.303929,961
Studio Cévenol,45.058929,4.301951,942
Studio-Cévenol,45.058929,4.301951,942
Studio Cevenol,45.058929,4.301951,942
Studio-Cevenol,45.058929,4.301951,942
Ferme École,45.055912,4.325135,1005
collège Cévenol,45.060959,4.303929,961
École Cévenol,45.060959,4.303929,961
école Cévenol,45.060959,4.303929,961
lycée Cévenol,45.060959,4.303929,961
Lycée Cévenol,45.060959,4.303929,961
