SourceID,TargetID,Observed,Predicted,Residual
1,2,0.0,4.79148875433353,-4.79148875433353
1,4,0.0,1.5441198801211773,-1.5441198801211773
1,5,359.0,364.346561166447,-5.346561166446975
1,6,49.0,43.71101730816818,5.288982691831819
1,8,0.0,0.5361224360702621,-0.5361224360702621
2,4,118.0,117.72288203030675,0.27711796969325064
2,5,65.0,56.40314258164026,8.59685741835974
2,8,1.0,0.29950998775276577,0.7004900122472342
3,5,20.0,19.99830412702155,0.0016958729784484206
3,8,0.0,0.001479232241756017,-0.001479232241756017
4,6,0.0,5.644611659380567,-5.644611659380567
4,8,1.0,0.0004891497488730809,0.999510850251127
5,8,0.0,3.0197165483154787e-06,-3.0197165483154787e-06
6,7,0.0,7.382835090519344e-05,-7.382835090519344e-05
6,8,1.0,0.00018106332946341952,0.9998189366705366
7,8,1.0,1.3776689618762763e-05,0.9999862233103812
