Location,X_Coord,Y_Coord,Z_Coord,Aliases
Mars,45.0218069,4.3646479,1027,mars
Les Digons,45.036205,4.371174,1084,les digons
Romière,45.042877,4.323951,1053,romière
Les Tavas,45.051365,4.33872,1005,Tavas; les tavas; tavas
Maison des Roches,45.05262,4.321041,959,Maison-des-Roches; Maison des de Roches; Les Roches; House of the Rocks; Rohnert; maison des roches; maison-des-roches
Côteau Fleuri,45.05287,4.340592,1028,Côteau-Fleuri; Le Coteau Fleuri; Coteau Fleuri; Coteau-Fleuri; côteau fleuri; côteau-fleuri
La Fayolle,45.0535,4.28556,1002,Fayolle; la fayolle; fayolle
Le Faïdoli,45.05561,4.289219,976,Faïdoli; le faïdoli; faïdoli
Ferme École,45.055912,4.325135,1005,ferme école
Studio Cévenol,45.05893,4.301951,942,Studio-Cévenol; Studio Cevenol; Studio-Cevenol; studio cévenol; studio-cévenol
L'Abric,45.06056,4.311144,997,L'Abric House; l'abric
Pension Barraud,45.060711,4.298607,955,pension barraud
Beau Soleil,45.060711,4.298607,955,beau soleil
l'Hôtel du Lignon,45.060642,4.30448,958,hôtel du Lignon; Hôtel du Lignon; L'Hôtel du Lignon; L'hôtel du Lignon; hôtel du lignon; l'hôtel du lignon
Tante Soly,45.060757,4.304197,958,tante soly
Le Chambon-sur-Lignon,45.06081,4.302941,961,Chambon; Le Chambon sur Lignon; Chambon-sur-Lignon; Chambon sur Lignon; Le Chambon; le chambon-sur-lignon; chambon; le chambon; chambon-sur-lignon
le Lignon,45.06081,4.302941,961,le lignon
Plateau Vivarais,45.06081,4.302941,961,Plateau; montagnes Cévenol; plateau Cévenol; plateau vivarais
La Joyeuse Nichée,45.06083,4.311157,1002,Joyeuse Nichée; Joyeuse-Nichée; la Joyeuse Nichée; la Joyeuse-Nichée; la joyeuse nichée; joyeuse nichée
Collège Cévenol,45.06096,4.303929,961,Collège-Cévenol; Cévenol; College Cévenol; College-Cévenol; College Cevenol; collège Cévenol; École Cévenol; école Cévenol; lycée Cévenol; Lycée Cévenol; college-cévenol; college cévenol
Le Clos Gentil,45.061823,4.306723,994,Le clos gentil; le Clos Gentil; Le Clos gentil; Le clos Gentil; le clos Gentil; le clos gentil
La Ruchée,45.06237,4.306548,994,Ruchée; la ruchee; ruchée; la ruchée
La Guespy,45.062374,4.312919,1006,Guespy; guespy; la guespy
Les Heures Claires,45.063877,4.309932,981,Heures Claires; Heures-Claires; Les Heures-Claires; les heures claires; heures claires; heures-claires
Les Airelles,45.066315,4.305011,995,Airelles; airelles; les airelles
Devesset,45.068,4.38791,1146,devesset
Les Grillons,45.07128,4.326289,1067,"Les Grillon; Grillons, crickets, Pension De Famille; the crickets; grillons; les grillons; pension de famille"
Mazelgirard,45.08217,4.28083,969,mazelgirard
Chaumargeais,45.09006,4.344,1004,chaumargeais
